maximum_stay,parking_composition,avg_cost_per_hour,avg_cost_of_stay,image,text_annotations,size,text_height,frame
30,15.73,7.021905089,0,money_64.png,,0.040,,a
30,15.73,7.021905089,3.51,money_64.png,,0.040,,b
30,15.73,7.021905089,3.51,money_64.png,,0.040,,c
30,15.73,7.021905089,3.51,money_64.png,,0.040,,d
30,15.73,7.021905089,3.51,money_64.png,,0.040,,e
30,15.73,7.021905089,3.51,money_64.png,Final cost: $3.51,0.040,5,f
60,36.84,6.624007073,0,money_64.png,,0.040,,a
60,36.84,6.624007073,3.51,money_64.png,,0.040,,b
60,36.84,6.624007073,6.62,money_64.png,,0.0665,,c
60,36.84,6.624007073,6.62,money_64.png,,0.0665,,d
60,36.84,6.624007073,6.62,money_64.png,,0.0665,,e
60,36.84,6.624007073,6.62,money_64.png,Final cost: $6.62,0.0665,8.5,f
120,35.49,6.005062832,0,money_64.png,,0.040,,a
120,35.49,6.005062832,3.51,money_64.png,,0.040,,b
120,35.49,6.005062832,6.62,money_64.png,,0.0665,,c
120,35.49,6.005062832,12.01,money_64.png,,0.1,,d
120,35.49,6.005062832,12.01,money_64.png,,0.1,,e
120,35.49,6.005062832,12.01,money_64.png,Final cost: $12.01,0.1,14.25,f
180,3.6,5.5,0,money_64.png,,0.040,,a
180,3.6,5.5,3.51,money_64.png,,0.040,,b
180,3.6,5.5,6.62,money_64.png,,0.0665,,c
180,3.6,5.5,12.01,money_64.png,,0.1,,d
180,3.6,5.5,16.5,money_64.png,,0.133,,e
180,3.6,5.5,16.5,money_64.png,Final cost: $16.5,0.133,19,f
240,8.34,5.025,0,money_64.png,,0.040,,a
240,8.34,5.025,3.51,money_64.png,,0.040,,b
240,8.34,5.025,6.62,money_64.png,,0.0665,,c
240,8.34,5.025,12.01,money_64.png,,0.1,,d
240,8.34,5.025,16.5,money_64.png,,0.133,,e
240,8.34,5.025,20.1,money_64.png,Final cost: $20.01,0.16,23,f
